Date,Open,High,Low,Close,Volume
2019-12-02,2874.45,2888.89,2870.24,2875.81,12875580600
2019-12-03,2869.88,2884.86,2857.32,2884.7,12377874200
2019-12-04,2876.91,2882.46,2869.96,2878.12,12734348600
2019-12-05,2886.52,2902,2885.08,2899.47,14316309600
2019-12-06,2902.28,2912.01,2894.75,2912.01,13412887800
2019-12-09,2914.46,2919.59,2905.25,2914.48,16079652700
2019-12-10,2908.94,2919.2,2902.79,2917.32,17012399800
2019-12-11,2922.6,2928.26,2915,2924.42,16554108700
2019-12-12,2926.34,2926.34,2913.48,2915.7,15176080400
2019-12-13,2937.78,2969.98,2935.85,2967.68,21197858500
2019-12-16,2970.97,2984.64,2958.71,2984.39,21186211900
2019-12-17,2985.26,3039.38,2982.5,3022.42,29303225400
2019-12-18,3021.47,3033.23,3011.72,3017.04,24408969100
2019-12-19,3017.15,3021.42,3007.99,3017.07,20862426400
2019-12-20,3019.64,3027.48,3002.26,3004.94,21507575500
2019-12-23,2999.04,3009.34,2960.44,2962.75,20571661700
2019-12-24,2965.83,2983.82,2960.68,2982.68,16303025000
2019-12-25,2980.43,2988.29,2970.66,2981.88,17565402800
2019-12-26,2981.25,3007.35,2980.4,3007.35,18244042600
2019-12-27,3006.85,3036.11,3003.63,3005.04,24710277900
2019-12-30,2998.17,3041.4,2983.34,3040.02,24806653000
2019-12-31,3036.385,3051.677,3030.512,3050.124,21742902200
2020-01-02,3066.34,3098.1,3066.34,3085.2,29247020800
2020-01-03,3089.02,3093.82,3074.52,3083.79,26149666700
2020-01-06,3070.91,3107.2,3065.31,3083.41,31695993300
2020-01-07,3085.49,3105.33,3084.51,3104.8,27975038600
2020-01-08,3094.24,3094.24,3059.13,3066.89,29787255300
2020-01-09,3082.64,3097.33,3080.13,3094.88,24343564900
2020-01-10,3102.29,3105.22,3081.4,3092.29,21044246200
2020-01-13,3091.49,3115.57,3075.38,3115.57,21062100400
2020-01-14,3120.67,3127.17,3105.6,3106.82,22997376900
2020-01-15,3103.17,3107.94,3082.04,3090.04,20231302300
2020-01-16,3095.73,3096.37,3070.88,3074.08,20337547500
2020-01-17,3081.46,3091.95,3067.25,3075.5,19030429900
2020-01-20,3082.113,3096.268,3070.48,3095.787,21339039800
2020-01-21,3085.79,3085.79,3051.23,3052.14,23483073900
2020-01-22,3038.486,3069.252,3006.267,3060.754,22385286500
2020-01-23,3037.952,3045.04,2955.346,2976.528,27276323400
2020-02-03,2716.7,2766.58,2716.7,2746.61,22965657500
2020-02-04,2685.269,2786.164,2685.269,2783.287,36404620000
2020-02-05,2792.371,2842.742,2778.864,2818.087,30976182300
2020-02-06,2826.885,2876.587,2807.609,2866.509,31639214200
2020-02-07,2858.93,2875.96,2839.24,2875.96,31678155000
2020-02-10,2860.5,2891.85,2851.05,2890.49,29492978400
2020-02-11,2894.54,2913.66,2882.28,2901.67,27588251300
2020-02-12,2895.556,2926.899,2892.424,2926.899,24873342900
2020-02-13,2927.14,2934.94,2901.59,2906.07,28141805700
2020-02-14,2899.865,2926.942,2899.573,2917.007,25065062700
2020-02-17,2924.99,2983.64,2924.99,2983.62,31319800700
2020-02-18,2981.41,2990.6,2960.78,2984.97,31166591300
2020-02-19,2979.522,2998.271,2971.821,2975.401,31514115100
2020-02-20,2981.88,3031.37,2968.45,3030.15,34573288100
2020-02-21,3022.245,3058.898,3020.141,3039.669,37159919200
2020-02-24,3027.89,3042.18,3007.36,3031.23,37043004400
2020-02-25,2982.069,3016.945,2943.716,3013.05,44162276200
2020-02-26,2978.419,3028.778,2974.942,2987.928,46904955200
2020-02-27,2992.491,3009.457,2980.477,2991.328,35651749100
2020-02-28,2924.64,2948.126,2878.544,2880.303,40121691400
2020-03-02,2899.31,2982.506,2899.31,2970.931,36733336900
2020-03-03,3006.888,3026.842,2976.685,2992.896,41845777300
2020-03-04,2981.806,3012.003,2974.358,3011.665,35333827800
2020-03-05,3036.154,3074.167,3023.189,3071.677,45095717400
2020-03-06,3039.939,3052.443,3029.463,3034.511,36206153300
2020-03-09,2987.18,2989.205,2940.713,2943.29,41456073600
2020-03-10,2918.934,3000.296,2904.798,2996.761,39329664800
2020-03-11,3001.761,3010.028,2968.517,2968.517,35841399700
2020-03-12,2936.016,2944.465,2906.283,2923.485,30777845700
2020-03-13,2804.232,2910.816,2800.679,2887.426,38154411600
2020-03-16,2897.3,2898.034,2784.661,2789.253,35187866500
2020-03-17,2796.284,2826.906,2715.221,2779.64,30614967700
2020-03-18,2792.322,2815.873,2728.756,2728.756,29115985200
2020-03-19,2719.406,2736.82,2646.804,2702.129,30230274700
2020-03-20,2727.018,2751.896,2702.493,2745.618,25201950700
2020-03-23,2677.591,2703.329,2656.5,2660.167,24982025000
2020-03-24,2703.019,2723.406,2667.133,2722.438,25702193000
2020-03-25,2775.303,2788.572,2757.954,2781.591,27807736700
2020-03-26,2761.896,2788.503,2753.428,2764.91,23408402200
2020-03-27,2792.984,2805.547,2771.757,2772.203,24448976700
2020-03-30,2739.719,2759.098,2723.302,2747.213,24296591500
2020-03-31,2767.307,2771.168,2743.115,2750.296,21859867400
2020-04-01,2743.54,2773.364,2731.079,2734.521,21725342700
2020-04-02,2720.228,2780.637,2719.904,2780.637,21786460000
2020-04-03,2773.576,2780.586,2754.073,2763.987,20083740400
2020-04-07,2806.967,2823.276,2801.838,2820.763,27019818600
2020-04-08,2805.916,2823.213,2800.296,2815.368,24351530500
2020-04-09,2825.839,2832.395,2820.432,2825.903,23818484300
2020-04-10,2827.187,2833.014,2789.975,2796.631,23345476800
2020-04-13,2784.597,2792.89,2774.08,2783.047,17712455400
2020-04-14,2794.801,2827.298,2789.634,2827.283,20530445600
2020-04-15,2826.661,2829.455,2808.703,2811.174,20833793800
2020-04-16,2798.429,2823.338,2796.838,2819.935,20300377300
2020-04-17,2835.558,2854.959,2830.021,2838.494,24573675000
2020-04-20,2840.408,2852.99,2833.261,2852.552,21184707800
2020-04-21,2842.237,2842.237,2808.021,2827.013,23323587000
2020-04-22,2814.066,2843.98,2808.481,2843.98,21732000000
2020-04-23,2850.51,2853.635,2835.896,2838.499,24877903700
2020-04-24,2834.938,2834.938,2802.498,2808.529,23518507600
2020-04-27,2812.242,2832.666,2802.957,2815.494,21013098100
2020-04-28,2819.991,2821.745,2758.245,2810.024,25387274500
2020-04-29,2801.383,2831.764,2800.737,2822.442,20206180700
2020-04-30,2832.384,2865.59,2832.384,2860.082,24245527800
2020-05-06,2831.632,2879.263,2830.653,2878.14,24982661600
2020-05-07,2876.472,2882.022,2864.581,2871.523,22673695700
2020-05-08,2882.707,2903.796,2879.203,2895.344,22682207500
2020-05-11,2901.573,2914.283,2884.38,2894.802,22512041000
2020-05-12,2894.617,2897.901,2871.514,2891.556,19931118200
2020-05-13,2882.955,2899.898,2875.548,2898.049,18784771500
2020-05-14,2887.057,2887.057,2869.183,2870.342,19994185000
2020-05-15,2880.706,2884.219,2863.369,2868.458,18898359200
2020-05-18,2872.524,2889.979,2862.27,2875.417,22602288200
2020-05-19,2897.686,2900.218,2887.576,2898.576,19722240500
2020-05-20,2896.465,2896.465,2876.176,2883.737,21051998500
2020-05-21,2890.721,2891.517,2864.207,2867.923,20353203800
2020-05-22,2863.046,2863.046,2808.017,2813.765,20906371200
2020-05-25,2816.241,2821.31,2803.258,2817.969,17568646300
2020-05-26,2827.896,2848.337,2825.901,2846.547,17456236900
2020-05-27,2847.319,2848.996,2831.928,2836.803,19814934300
2020-05-28,2838.207,2861.924,2820.145,2846.221,20754601900
2020-05-29,2835.584,2855.375,2829.627,2852.351,20679280400
