Date,Open,High,Low,Close,Volume
2019-12-02,3143.85,3144.31,3110.78,3113.87,497591273
2019-12-03,3087.41,3094.97,3070.33,3093.2,557374678
2019-12-04,3103.5,3119.38,3102.53,3112.76,528372221
2019-12-05,3119.21,3119.45,3103.76,3117.43,462499605
2019-12-06,3134.62,3150.6,3134.62,3145.91,489116706
2019-12-09,3141.86,3148.87,3135.46,3135.96,468488007
2019-12-10,3135.36,3142.12,3126.09,3132.52,460145225
2019-12-11,3135.75,3143.98,3133.21,3141.63,472523605
2019-12-12,3141.23,3176.28,3138.47,3168.57,575875664
2019-12-13,3166.65,3182.68,3156.51,3168.8,505261345
2019-12-16,3183.63,3197.71,3183.63,3191.45,640194352
2019-12-17,3195.4,3198.22,3191.03,3192.52,568033435
2019-12-18,3195.21,3198.48,3191.14,3191.14,598958742
2019-12-19,3192.32,3205.48,3192.32,3205.37,592606963
2019-12-20,3223.33,3225.65,3216.03,3221.22,1760995206
2019-12-23,3226.05,3227.78,3222.3,3224.01,467684564
2019-12-24,3225.45,3226.43,3220.51,3223.38,170793796
2019-12-26,3227.2,3240.08,3227.2,3239.91,316662796
2019-12-27,3247.23,3247.93,3234.37,3240.02,335876636
2019-12-30,3240.09,3240.92,3216.57,3221.29,344987511
2019-12-31,3215.18,3231.72,3212.03,3230.78,431595893
2020-01-02,3244.67,3258.14,3235.53,3257.85,517131498
2020-01-03,3226.36,3246.15,3222.34,3234.85,509241848
2020-01-06,3217.55,3246.84,3214.64,3246.28,575576705
2020-01-07,3241.86,3244.91,3232.43,3237.18,499721948
2020-01-08,3238.59,3267.07,3236.67,3253.05,542641238
2020-01-09,3266.03,3275.58,3263.67,3274.7,505064644
2020-01-10,3281.81,3282.99,3260.86,3265.35,453658958
2020-01-13,3271.13,3288.13,3268.43,3288.13,487943076
2020-01-14,3285.35,3294.25,3277.19,3283.15,557099156
2020-01-15,3282.27,3298.66,3280.69,3289.29,498362684
2020-01-16,3302.97,3317.11,3302.82,3316.81,506723004
2020-01-17,3323.66,3329.88,3318.86,3329.62,718131260
2020-01-21,3321.03,3329.79,3316.61,3320.79,643282954
2020-01-22,3330.02,3337.77,3320.04,3321.75,525750950
2020-01-23,3315.77,3326.88,3301.87,3325.54,575204996
2020-01-24,3333.1,3333.18,3281.53,3295.47,558038749
2020-01-27,3247.16,3258.85,3234.5,3243.63,605359533
2020-01-28,3255.35,3285.78,3253.22,3276.24,528076616
2020-01-29,3289.46,3293.47,3271.89,3273.4,540373645
2020-01-30,3256.45,3285.91,3242.8,3283.66,578126695
2020-01-31,3282.33,3282.33,3214.68,3225.52,875679107
2020-02-03,3235.66,3268.44,3235.66,3248.92,598835776
2020-02-04,3280.61,3306.92,3280.61,3297.59,591876110
2020-02-05,3324.91,3337.58,3313.75,3334.69,608121958
2020-02-06,3344.92,3347.96,3334.39,3345.78,553907100
2020-02-07,3335.54,3341.42,3322.12,3327.71,507416780
2020-02-10,3318.28,3352.26,3317.77,3352.09,488488621
2020-02-11,3365.87,3375.63,3352.72,3357.75,471668588
2020-02-12,3370.5,3381.47,3369.72,3379.45,535533382
2020-02-13,3365.9,3385.09,3360.52,3373.94,515936017
