,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
2929,CHE,Switzerland,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2930,CHE,Switzerland,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2931,CHE,Switzerland,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2932,CHE,Switzerland,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2933,CHE,Switzerland,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2934,CHE,Switzerland,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2935,CHE,Switzerland,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2936,CHE,Switzerland,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2937,CHE,Switzerland,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
2938,CHE,Switzerland,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53
