Date,Open,High,Low,Close,Volume
2019-12-02,13264.93,13338.25,12954.5,12964.68,105692185
2019-12-03,13039.61,13086.03,12927.07,12989.29,87003124
2019-12-04,12998.66,13157.36,12995.32,13140.57,68441918
2019-12-05,13144.38,13188.64,13054.8,13054.8,54216405
2019-12-06,13087.51,13171.21,13055.98,13166.58,60141661
2019-12-09,13147.57,13170.77,13100.24,13105.61,50345087
2019-12-10,13065.83,13091.71,12886.55,13070.72,80063951
2019-12-11,13075.43,13169.77,13042.7,13146.74,69220499
2019-12-12,13167.56,13287.81,13105.07,13221.64,83998794
2019-12-13,13383.26,13423.41,13255.55,13282.72,106137124
2019-12-16,13349.86,13425.85,13338.38,13407.66,71200805
2019-12-17,13391.27,13394.47,13269.43,13287.83,79260456
2019-12-18,13266.35,13286,13215.88,13222.16,71000997
2019-12-19,13226.7,13248.98,13140.22,13211.96,84018156
2019-12-20,13210.26,13324.11,13201.8,13318.9,170723223
2019-12-23,13304.77,13331.86,13285.55,13300.98,56215375
2019-12-27,13338.32,13381.44,13311.52,13337.11,43758558
2019-12-30,13301.43,13316.62,13244.17,13249.01,31427409
2020-01-02,13233.71,13425.03,13225.16,13385.93,75341368
2020-01-03,13266.39,13282.74,13120.72,13219.14,80793402
2020-01-06,13085.49,13143.11,12948.17,13126.99,71778648
2020-01-07,13199.59,13283.88,13166.4,13226.83,78282325
2020-01-08,13140.49,13334.04,13106.27,13320.18,88178791
2020-01-09,13474.76,13523.34,13456.78,13495.06,86965605
2020-01-10,13533.46,13548.2,13483.31,13483.31,77941022
2020-01-13,13521.86,13529.21,13404.72,13451.52,67208343
2020-01-14,13439.2,13487.9,13362.2,13456.49,74555365
2020-01-15,13444.95,13458.91,13388.48,13432.3,72046445
2020-01-16,13463.46,13492.74,13382.98,13429.43,71071235
2020-01-17,13513.48,13557.78,13497.3,13526.13,86342758
2020-01-20,13503.83,13550.83,13487.21,13548.94,52882445
2020-01-21,13456.9,13560.68,13443.25,13555.87,64630880
2020-01-22,13601.65,13640.06,13498.03,13515.75,73130717
2020-01-23,13455.9,13486.14,13382.23,13388.42,90749929
2020-01-24,13512.84,13604.85,13510.79,13576.68,85645279
2020-01-27,13374.99,13399.42,13195.28,13204.77,101409189
2020-01-28,13274.01,13327.12,13163.36,13323.69,91825265
2020-01-29,13316.42,13371.3,13296.03,13345,67876754
2020-01-30,13186.49,13262.18,13118.97,13157.12,100706051
2020-01-31,13196.8,13208.47,12973.7,12981.97,106903828
2020-02-03,13033.17,13077.57,12987.53,13045.19,81389097
2020-02-04,13135.61,13282.63,13131.07,13281.74,80887430
2020-02-05,13224.27,13488.58,13223.14,13478.33,108453850
2020-02-06,13570.33,13606.97,13533.66,13574.82,114567932
2020-02-07,13530.77,13551.03,13463.98,13513.81,87036924
2020-02-10,13476,13501.74,13445.41,13494.03,60456491
2020-02-11,13604.74,13668.43,13557.96,13627.84,104753454
2020-02-12,13671.15,13758.7,13658.15,13749.78,86733293
2020-02-13,13695.93,13745.43,13576.96,13745.43,92086968
2020-02-14,13756.47,13788.51,13728.12,13744.21,66314909
2020-02-17,13770.67,13795.24,13754.04,13783.89,57400064
2020-02-18,13668.94,13731.39,13660.45,13681.19,82088707
2020-02-19,13751.05,13789,13710.78,13789,90192858
2020-02-20,13774.44,13788.41,13664,13664,86435175
2020-02-21,13609.94,13689.23,13500.5,13579.33,108765356
